Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
498.0426,166,289,1,0.002848336,-0.01055324,-0.1264301,-0.07861902,-0.03102349,0.9964219
498.0518,162,288,1,0.002676836,-0.01055188,-0.1264476,-0.07993592,-0.03134093,0.9963072
498.0614,158,287,1,0.002503912,-0.01055099,-0.1264677,-0.08145035,-0.03162915,0.9961754
498.0738,153,286,1,0.002339004,-0.01054901,-0.1264889,-0.08290374,-0.03189713,0.9960469
498.0825,149,286,1,0.002182174,-0.01054666,-0.126511,-0.08429248,-0.03214183,0.9959224
498.097,145,285,1,0.00206258,-0.01054242,-0.1265331,-0.08578978,-0.03234923,0.9957879
498.1134,141,284,1,0.001948414,-0.01053745,-0.1265578,-0.08721449,-0.03253051,0.9956583
498.1302,36,273,1,-0.001854629,-0.01031301,-0.1272373,-0.1230627,-0.0365941,0.991724
498.1501,36,273,1,-0.001855005,-0.01031286,-0.1272398,-0.1230586,-0.03658053,0.991725
498.1638,36,273,1,-0.00187741,-0.01031035,-0.1272448,-0.1231116,-0.03654739,0.9917196
498.1826,36,273,1,-0.001898976,-0.01030838,-0.1272501,-0.1231626,-0.0365045,0.9917148
498.1994,36,273,1,-0.001934705,-0.01030441,-0.1272585,-0.1232628,-0.03647882,0.9917034
498.2159,35,273,1,-0.001968174,-0.01030261,-0.1272676,-0.1233675,-0.03644979,0.9916914
498.2308,35,273,1,-0.002054715,-0.01029679,-0.1272761,-0.1235077,-0.03644622,0.9916741
498.2474,35,273,1,-0.002137729,-0.01029112,-0.1272836,-0.1236429,-0.03644055,0.9916574
498.2626,34,273,1,-0.002245215,-0.01028544,-0.127292,-0.123799,-0.03645948,0.9916373
498.2803,33,273,1,-0.002347479,-0.01028124,-0.1273001,-0.1239526,-0.0364836,0.9916172
498.2976,33,273,1,-0.002489967,-0.01027718,-0.127308,-0.1241142,-0.03652602,0.9915954
498.3132,32,273,1,-0.002625752,-0.01027336,-0.1273136,-0.1242659,-0.03657285,0.9915748
498.331,32,273,1,-0.002772654,-0.01026914,-0.1273196,-0.124427,-0.03665256,0.9915516
498.3465,31,272,1,-0.002912754,-0.01026409,-0.1273227,-0.1245756,-0.03673231,0.9915299
498.3622,31,272,1,-0.003041035,-0.01026011,-0.1273242,-0.124703,-0.03682899,0.9915104
498.3796,30,272,1,-0.003162565,-0.01025622,-0.1273253,-0.1248232,-0.03692356,0.9914917
498.3971,30,271,1,-0.003267735,-0.01025684,-0.1273235,-0.1249734,-0.03706057,0.9914677
498.4139,29,271,1,-0.003368605,-0.01025937,-0.1273216,-0.1251198,-0.037212,0.9914435
498.4314,29,270,1,-0.003477026,-0.01026131,-0.1273161,-0.1253569,-0.03762272,0.9913982
