Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
970.7241,82,304,1,-0.01310915,0.07336155,0.08799816,-0.1105586,-0.05162842,0.9925278
970.7313,83,301,1,-0.01310773,0.07335301,0.08798706,-0.1101838,-0.05249935,0.9925238
970.7429,83,299,1,-0.01310692,0.07334612,0.08797728,-0.1098257,-0.05333034,0.9925191
970.7484,84,297,1,-0.01310584,0.07333907,0.08796899,-0.1094866,-0.05412171,0.9925138
970.7599,85,295,1,-0.01305578,0.07332822,0.08796153,-0.1092066,-0.05482323,0.9925061
970.7775,86,293,1,-0.01300696,0.07331374,0.08795472,-0.1089224,-0.05550729,0.9924992
970.7932,87,291,1,-0.01295696,0.07329735,0.0879484,-0.1086515,-0.05622437,0.9924886
970.8102,87,289,1,-0.0129096,0.07328615,0.08793962,-0.1083862,-0.05693471,0.9924771
970.8284,88,288,1,-0.01284449,0.07327322,0.08793227,-0.1081305,-0.05764515,0.9924639
970.8448,89,286,1,-0.01278207,0.07325961,0.08792674,-0.1078785,-0.05831649,0.9924523
970.8609,90,284,1,-0.01271122,0.07324587,0.0879191,-0.1076121,-0.05900025,0.9924407
970.8779,90,282,1,-0.01264422,0.07322847,0.08791395,-0.1073555,-0.05967842,0.9924279
970.896,91,280,1,-0.01255571,0.07320666,0.08790749,-0.1071132,-0.06034654,0.9924138
970.9122,92,279,1,-0.01247087,0.07318567,0.08790045,-0.1068842,-0.06101145,0.9923978
970.9273,92,277,1,-0.01234597,0.07316305,0.08789302,-0.1066698,-0.06159247,0.992385
970.9436,93,276,1,-0.01222633,0.0731423,0.08788451,-0.1064717,-0.06215175,0.9923714
970.961,94,274,1,-0.01209927,0.07312177,0.08787459,-0.1062512,-0.06265893,0.9923632
970.9783,94,273,1,-0.01197612,0.0731044,0.08786394,-0.1060393,-0.0631441,0.992355
970.9943,95,272,1,-0.01185673,0.07308816,0.08785233,-0.1057911,-0.06357941,0.9923537
971.012,96,271,1,-0.0117407,0.07307426,0.08784144,-0.1055395,-0.06398337,0.9923546
971.029,97,270,1,-0.0115869,0.07305898,0.0878319,-0.1052667,-0.06434245,0.9923603
971.0445,97,269,1,-0.01143829,0.0730417,0.08781988,-0.104995,-0.06469372,0.9923663
971.063,98,268,1,-0.01128501,0.07302623,0.08780599,-0.1047594,-0.06502883,0.9923693
971.0787,99,267,1,-0.01113603,0.07301328,0.08779238,-0.1045233,-0.06533603,0.9923739
971.0941,100,266,1,-0.0110383,0.07300217,0.08777116,-0.1042832,-0.0656076,0.9923813
971.1101,100,266,1,-0.01094343,0.072992,0.08774944,-0.1040518,-0.06586388,0.9923886
971.1276,101,265,1,-0.01087111,0.07298596,0.08772366,-0.1039326,-0.06604411,0.9923891
971.1454,101,265,1,-0.010801,0.07298392,0.087699,-0.103823,-0.06620031,0.9923902
971.162,101,265,1,-0.01078407,0.07298362,0.08766978,-0.1037358,-0.06626938,0.9923947
971.1788,101,264,1,-0.01076842,0.07298523,0.08763974,-0.1036613,-0.06632558,0.9923987
971.195,101,264,1,-0.01076278,0.07299112,0.08760801,-0.1036618,-0.06634934,0.9923971
971.2115,101,264,1,-0.01075661,0.07299533,0.08757668,-0.1036662,-0.06635232,0.9923965
971.2293,101,264,1,-0.01075615,0.07299871,0.08754461,-0.1037145,-0.06632325,0.9923933
971.2448,101,265,1,-0.01075421,0.07300478,0.08751363,-0.1037621,-0.06629123,0.9923905
971.2625,101,265,1,-0.01079442,0.07301322,0.08747856,-0.1037874,-0.0662462,0.9923908
971.2782,101,265,1,-0.01083238,0.07302317,0.08744653,-0.1038013,-0.06618533,0.9923935
971.293,102,273,1,-0.01127991,0.07307506,0.08739023,-0.1033113,-0.06321382,0.9926383
971.3092,103,280,1,-0.01171158,0.07312132,0.08733468,-0.102839,-0.06036072,0.9928649
971.3265,104,288,1,-0.01205648,0.0731636,0.08728378,-0.1024283,-0.05763105,0.9930695
971.344,105,295,1,-0.01238868,0.07320233,0.0872345,-0.102037,-0.05501289,0.9932583
971.3611,105,301,1,-0.01264875,0.07323978,0.08718767,-0.101715,-0.05255981,0.9934241
971.3792,106,307,1,-0.01289973,0.07327598,0.08714342,-0.1014156,-0.05021071,0.9935762
971.3947,120,455,1,-0.01836169,0.07409626,0.08619936,-0.09481809,0.005691645,0.9954783
971.4114,120,455,1,-0.01836422,0.07409678,0.08619978,-0.09482925,0.005690159,0.9954773
971.4294,120,455,1,-0.0183013,0.07409233,0.08620413,-0.09486449,0.005671489,0.995474
971.4439,120,455,1,-0.01824223,0.07408746,0.08620714,-0.09490542,0.005636693,0.9954703
971.4615,119,455,1,-0.01816558,0.07407746,0.08621299,-0.09495616,0.005605987,0.9954656
971.4785,119,455,1,-0.01809063,0.0740703,0.08621347,-0.09502048,0.005550578,0.9954599
971.4955,119,454,1,-0.0180646,0.07407996,0.08622342,-0.09512359,0.005326877,0.9954513
971.5112,119,454,1,-0.01804127,0.07408647,0.08623146,-0.09523175,0.005182718,0.9954416
971.5298,118,453,1,-0.01802836,0.07408035,0.08624112,-0.09536514,0.004934234,0.9954301
971.5452,118,453,1,-0.01801734,0.07407159,0.08625161,-0.09549228,0.004626848,0.9954194
971.5621,118,451,1,-0.01800112,0.074064,0.08626153,-0.09560845,0.004213756,0.9954101
971.5787,118,450,1,-0.017985,0.07406078,0.08627493,-0.0957117,0.003823278,0.9954017
971.5947,117,449,1,-0.01794229,0.07405009,0.08629078,-0.09586155,0.003377564,0.995389
971.6122,117,448,1,-0.01790512,0.07403398,0.08630157,-0.09600326,0.002922746,0.9953768
971.6282,116,447,1,-0.0178319,0.07401907,0.08631633,-0.09618139,0.002411606,0.995361
971.6451,116,445,1,-0.01776416,0.07400586,0.08633438,-0.09635946,0.001927923,0.9953448
971.6617,116,444,1,-0.01771278,0.07399142,0.08635075,-0.09654111,0.001452756,0.9953279
971.6785,115,443,1,-0.01766717,0.07397398,0.08636871,-0.09672529,0.0009822375,0.9953106
971.6945,115,442,1,-0.01764181,0.07395605,0.08638524,-0.09690632,0.0005095907,0.9952934
971.7119,114,440,1,-0.01762056,0.07394122,0.08640628,-0.09708504,5.251765E-05,0.9952761
971.7289,113,439,1,-0.01756218,0.07392208,0.08642615,-0.09738975,-0.0005376637,0.9952462
971.7446,113,437,1,-0.01750981,0.07390428,0.08644994,-0.09768885,-0.001126974,0.9952164
971.7626,112,435,1,-0.01748727,0.07388776,0.08647337,-0.09797434,-0.0018077,0.9951873
971.7787,111,434,1,-0.01746765,0.07386808,0.08650099,-0.09824969,-0.002469423,0.9951588
971.7949,111,432,1,-0.01744173,0.07384624,0.08652428,-0.09851126,-0.003212144,0.9951307
