Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
480.5672,36,206,1,-0.03697219,-0.01362963,-0.3032528,-0.1083817,-0.05670866,0.9924906
480.5742,36,205,1,-0.03711228,-0.01362808,-0.3032721,-0.1082697,-0.05701972,0.9924849
480.5832,37,204,1,-0.03725113,-0.01362958,-0.30329,-0.1081554,-0.05732451,0.9924799
480.5937,37,203,1,-0.03738573,-0.01363233,-0.3033083,-0.1080228,-0.05760715,0.992478
480.6111,37,203,1,-0.03752078,-0.01363823,-0.3033267,-0.1078765,-0.05791341,0.9924761
480.6266,38,201,1,-0.03766542,-0.01364003,-0.3033465,-0.1077241,-0.05830631,0.9924696
480.6421,38,200,1,-0.03780829,-0.01364404,-0.3033661,-0.1075615,-0.05867416,0.9924656
480.6589,38,199,1,-0.03793269,-0.01364836,-0.3033839,-0.1073889,-0.05903518,0.9924628
480.6771,39,198,1,-0.038055,-0.01365577,-0.3034038,-0.1072227,-0.05938975,0.9924597
480.692,39,197,1,-0.03816216,-0.01366637,-0.3034256,-0.1070603,-0.05976024,0.9924549
480.709,39,196,1,-0.03826729,-0.01367381,-0.3034482,-0.1069022,-0.06012511,0.9924499
480.7251,40,195,1,-0.038373,-0.01368034,-0.3034696,-0.1067783,-0.06046175,0.9924428
480.7421,40,194,1,-0.03847492,-0.0136875,-0.3034911,-0.1066434,-0.06076063,0.9924391
480.7596,40,193,1,-0.03856802,-0.01369609,-0.3035121,-0.1065141,-0.06102441,0.9924368
480.7758,41,193,1,-0.03865978,-0.01370547,-0.3035372,-0.1063771,-0.06126896,0.9924364
480.7924,41,192,1,-0.038748,-0.01371198,-0.3035635,-0.106252,-0.06153537,0.9924334
480.8102,41,191,1,-0.03883504,-0.01371626,-0.3035885,-0.1061252,-0.06177769,0.9924318
480.8272,43,190,1,-0.03891335,-0.01372001,-0.3036153,-0.1055225,-0.06202301,0.9924809
480.8423,45,190,1,-0.03899082,-0.01372505,-0.3036444,-0.1049503,-0.06225546,0.9925269
480.8604,47,189,1,-0.03905103,-0.01373389,-0.3036735,-0.1041707,-0.06246539,0.9925959
