Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
738.6231,75,407,1,0.07824271,0.02058547,-0.1300788,-0.1311641,0.002636455,0.9913571
738.6308,75,406,1,0.07852991,0.0205678,-0.1300885,-0.1312499,0.002217318,0.9913468
738.6381,75,404,1,0.07880757,0.02054988,-0.1300969,-0.1313259,0.001814386,0.9913376
738.6461,75,403,1,0.07907671,0.02053342,-0.1301045,-0.1313998,0.001428111,0.9913284
738.6617,75,402,1,0.07935514,0.02051209,-0.1301123,-0.1314864,0.001012792,0.9913175
738.6783,75,401,1,0.0796252,0.02049199,-0.1301163,-0.1315589,0.0006038463,0.9913082
738.6957,75,400,1,0.0798931,0.02046956,-0.1301203,-0.1315763,0.0001630714,0.991306
738.7125,75,398,1,0.08015286,0.02044854,-0.1301237,-0.1315874,-0.000272743,0.9913046
738.7292,75,397,1,0.08044527,0.02042669,-0.1301277,-0.1315686,-0.0006846436,0.9913068
738.7452,76,396,1,0.08072829,0.02040383,-0.1301321,-0.1315441,-0.001083658,0.9913098
738.7624,76,395,1,0.08100548,0.02038263,-0.1301357,-0.1315167,-0.001426953,0.991313
738.7798,76,394,1,0.08127294,0.02036158,-0.1301371,-0.1314868,-0.001750167,0.9913164
738.7958,76,393,1,0.08155821,0.02033599,-0.1301443,-0.1314811,-0.002020611,0.9913166
738.8135,77,393,1,0.08183362,0.02031075,-0.1301469,-0.1314698,-0.002281786,0.9913176
738.829,77,392,1,0.0821157,0.0202858,-0.1301553,-0.1314969,-0.002549958,0.9913133
738.8461,77,391,1,0.08239181,0.020273,-0.1301555,-0.1315156,-0.002774669,0.9913102
738.8624,77,391,1,0.08264581,0.02026115,-0.1301554,-0.1315218,-0.002880547,0.991309
738.8797,77,391,1,0.08289035,0.02024191,-0.1301547,-0.1315172,-0.002995409,0.9913093
738.8964,78,390,1,0.08306561,0.02022379,-0.1301519,-0.1314693,-0.003149683,0.9913152
738.9122,78,390,1,0.08323654,0.02020885,-0.1301509,-0.1314171,-0.00333096,0.9913216
738.9295,78,389,1,0.08341499,0.02019513,-0.1301497,-0.1313736,-0.003521763,0.9913267
738.945,78,389,1,0.0835882,0.02018104,-0.1301489,-0.1313106,-0.00371853,0.9913343
738.9625,79,388,1,0.08375236,0.02016667,-0.1301544,-0.1312844,-0.003934724,0.9913369
738.9796,79,387,1,0.08391027,0.02015617,-0.1301585,-0.1312634,-0.004136848,0.9913389
738.9962,80,386,1,0.0840326,0.02014439,-0.1301631,-0.1309288,-0.004595302,0.991381
739.0132,81,385,1,0.08415031,0.02013436,-0.1301683,-0.1306192,-0.005031092,0.9914199
739.0292,82,383,1,0.08424049,0.02012431,-0.1301744,-0.1301651,-0.005634347,0.9914764
739.0454,83,381,1,0.08432826,0.02011724,-0.1301785,-0.1297437,-0.00621701,0.991528
739.0624,85,380,1,0.0843831,0.02011211,-0.1301852,-0.1292316,-0.006879606,0.9915906
739.0799,86,378,1,0.08443628,0.02010836,-0.1301924,-0.128742,-0.007500575,0.9916497
739.0957,88,376,1,0.08447275,0.02010459,-0.130202,-0.1282439,-0.008223645,0.9917086
739.1123,89,374,1,0.08451,0.02010671,-0.1302093,-0.1277566,-0.008908861,0.9917655
739.13,91,372,1,0.08451828,0.02010847,-0.1302151,-0.1272454,-0.009652272,0.9918243
739.1461,92,370,1,0.08452658,0.0201086,-0.1302215,-0.1267469,-0.01035899,0.991881
739.1633,94,368,1,0.08448193,0.02010883,-0.1302277,-0.1262084,-0.01112625,0.9919413
739.1797,95,366,1,0.08444026,0.02011052,-0.1302384,-0.1256965,-0.01185783,0.9919979
739.1971,96,363,1,0.08441296,0.02011226,-0.1302491,-0.1252402,-0.01263739,0.992046
739.2109,98,361,1,0.08438719,0.02011111,-0.1302606,-0.1247924,-0.0133655,0.9920929
739.2291,99,359,1,0.08437707,0.02010953,-0.1302726,-0.1243305,-0.01413825,0.9921401
739.2449,100,357,1,0.08436754,0.02010836,-0.1302836,-0.1238859,-0.0148829,0.9921848
739.2655,101,355,1,0.08434448,0.02010502,-0.1302928,-0.1234826,-0.01563467,0.9922236
739.2797,102,353,1,0.08432208,0.02010024,-0.130302,-0.1230957,-0.01635502,0.99226
739.2952,103,351,1,0.08429617,0.02009413,-0.130312,-0.122783,-0.01711714,0.9922859
739.3106,104,349,1,0.08427135,0.0200867,-0.130319,-0.1224802,-0.01785625,0.9923103
739.3284,105,347,1,0.08427545,0.02007718,-0.1303257,-0.1222269,-0.01861906,0.9923275
739.3451,106,345,1,0.08428071,0.02006826,-0.1303317,-0.1219835,-0.01935508,0.9923434
739.3608,106,343,1,0.08429474,0.02005642,-0.1303355,-0.1217382,-0.02007507,0.9923592
739.379,107,340,1,0.08430536,0.02004365,-0.13034,-0.1214975,-0.02078671,0.9923741
739.3965,108,339,1,0.08433039,0.02002993,-0.1303427,-0.1212682,-0.02148667,0.9923872
739.4142,108,337,1,0.08435281,0.02001488,-0.1303461,-0.1210472,-0.02216314,0.9923993
739.4294,109,335,1,0.08436697,0.02000168,-0.130348,-0.1208363,-0.02283288,0.9924098
739.4442,109,333,1,0.08437834,0.01998838,-0.1303489,-0.1206384,-0.02348154,0.9924188
739.4611,110,331,1,0.08440273,0.01997671,-0.1303476,-0.1204795,-0.02413322,0.9924224
739.4784,110,329,1,0.08442505,0.01996369,-0.1303451,-0.1203375,-0.02475531,0.9924243
739.4955,111,328,1,0.08446161,0.01994993,-0.1303426,-0.1201904,-0.02536924,0.9924267
739.5117,111,326,1,0.08449507,0.01993413,-0.1303379,-0.1200574,-0.02597149,0.9924272
739.5295,112,324,1,0.08448815,0.01992319,-0.130333,-0.1199048,-0.02654226,0.9924305
739.5457,112,323,1,0.08448014,0.01991353,-0.1303286,-0.1197588,-0.02707828,0.9924337
739.5641,113,321,1,0.08446018,0.01990274,-0.1303215,-0.1194574,-0.02757133,0.9924564
739.5802,114,320,1,0.0844401,0.01989273,-0.1303118,-0.119165,-0.02804359,0.9924784
739.5977,115,318,1,0.08440139,0.01988307,-0.1303031,-0.1186875,-0.02858112,0.9925202
739.6125,116,317,1,0.08436137,0.01987583,-0.130293,-0.1182279,-0.02911275,0.9925596
739.6277,118,315,1,0.08428387,0.01987009,-0.1302837,-0.1176229,-0.02966663,0.9926151
739.6438,119,314,1,0.08420712,0.01986364,-0.1302772,-0.1170423,-0.03020473,0.9926675
739.6621,121,312,1,0.08408067,0.01986363,-0.1302687,-0.1163328,-0.03072042,0.9927351
739.6783,123,311,1,0.08395597,0.0198616,-0.1302596,-0.1156477,-0.0311951,0.9928004
739.6951,125,310,1,0.08380515,0.01986175,-0.1302533,-0.1148997,-0.03163288,0.9928733
739.712,127,309,1,0.08365771,0.01985882,-0.1302433,-0.1141815,-0.03204512,0.9929429
739.7297,129,308,1,0.08345486,0.01986293,-0.1302377,-0.1134125,-0.03245734,0.9930177
739.7457,131,307,1,0.0832611,0.01987281,-0.1302243,-0.1126717,-0.03281813,0.9930902
739.7635,133,306,1,0.08302604,0.01988372,-0.130213,-0.1119172,-0.03313127,0.9931651
739.7799,135,305,1,0.08279812,0.01989215,-0.1302,-0.1111883,-0.03345124,0.9932362
739.7976,137,304,1,0.08253144,0.0198977,-0.1301888,-0.1105204,-0.03380083,0.9932989
739.812,138,303,1,0.08227411,0.0199095,-0.130178,-0.1098754,-0.0341504,0.9933585
739.8291,142,302,1,0.08196308,0.01992187,-0.1301683,-0.1086257,-0.0346081,0.9934801
739.8444,145,300,1,0.08166326,0.0199322,-0.1301615,-0.1074093,-0.03506055,0.9935966
739.8624,145,300,1,0.08166326,0.0199322,-0.1301615,-0.1074093,-0.03506055,0.9935966
739.8789,145,300,1,0.08166326,0.0199322,-0.1301615,-0.1074093,-0.03506055,0.9935966
739.8955,152,299,1,0.08132662,0.01994554,-0.1301615,-0.1048913,-0.03548255,0.9938505
739.9122,158,298,1,0.08100184,0.0199592,-0.1301635,-0.1024872,-0.03588167,0.9940869
739.9299,171,297,1,0.08070818,0.01997386,-0.1301675,-0.09778164,-0.03616683,0.9945505
739.9459,184,297,1,0.08042478,0.01998942,-0.1301745,-0.09327284,-0.03642573,0.994974
739.9628,196,296,1,0.08010735,0.02000825,-0.1301832,-0.08893655,-0.03662444,0.9953637
739.9804,207,296,1,0.07979995,0.02002654,-0.1301943,-0.08477248,-0.036792,0.9957207
739.9998,219,295,1,0.07940816,0.0200516,-0.1302062,-0.08072639,-0.03696201,0.9960507
740.0119,229,295,1,0.0790303,0.02008084,-0.1302164,-0.07683326,-0.03709498,0.9963537
740.0285,239,295,1,0.07873658,0.02010609,-0.1302319,-0.07310554,-0.03720876,0.9966299
740.045,486,288,1,0.07166897,0.02062601,-0.1306295,0.0170587,-0.03994566,0.9990562
740.0615,486,288,1,0.07171221,0.0206278,-0.1306342,0.01706983,-0.03999776,0.999054
740.0784,486,288,1,0.0717508,0.02063003,-0.1306448,0.01708269,-0.04003475,0.9990522
740.0958,486,288,1,0.07180603,0.02063145,-0.1306589,0.0171045,-0.04006975,0.9990505
740.1125,487,287,1,0.07185926,0.02063384,-0.1306758,0.01713408,-0.04009513,0.999049
740.1298,487,287,1,0.0718793,0.02063757,-0.130695,0.01722081,-0.04012115,0.9990464
740.1453,487,287,1,0.07189771,0.02064706,-0.1307169,0.01729938,-0.04013109,0.9990446
740.1636,487,287,1,0.0719028,0.02065756,-0.1307391,0.01738043,-0.04016389,0.9990419
740.1797,487,287,1,0.0719062,0.02066723,-0.1307644,0.0174587,-0.04017071,0.9990403
740.1985,488,287,1,0.07191221,0.02067842,-0.1307928,0.01753068,-0.04020246,0.9990377
740.2128,488,287,1,0.07191736,0.0206903,-0.1308213,0.01760243,-0.04020848,0.9990362
740.2278,488,287,1,0.07190737,0.02070291,-0.1308513,0.01771038,-0.04022749,0.9990336
740.2438,488,287,1,0.07189903,0.02071661,-0.1308831,0.01782149,-0.04023426,0.9990314
740.2618,489,287,1,0.0718674,0.02073273,-0.1309148,0.01796737,-0.04024924,0.9990281
740.2794,489,287,1,0.0718367,0.0207472,-0.130948,0.01811815,-0.04023962,0.9990258
740.2959,490,287,1,0.07182439,0.02076194,-0.1309812,0.01826879,-0.04022115,0.9990238
