Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
985.7392,252,551,1,-0.01578535,0.07021365,0.09882837,-0.0457367,0.0432958,0.9980148
985.7482,250,548,1,-0.01550231,0.07019991,0.09882648,-0.04641009,0.04232578,0.9980253
985.7637,248,546,1,-0.01519492,0.07018844,0.09882847,-0.04712974,0.04138974,0.9980308
985.7705,247,544,1,-0.01489864,0.07017901,0.09883229,-0.04780242,0.04055268,0.9980332
985.7784,246,542,1,-0.01461295,0.07016454,0.09883533,-0.04842704,0.03978068,0.9980342
985.7938,244,539,1,-0.01427903,0.07014215,0.09883679,-0.04907034,0.03894755,0.9980356
985.8113,243,537,1,-0.01396034,0.07012472,0.09884136,-0.04966881,0.03811893,0.9980381
985.8289,241,535,1,-0.01360167,0.07010996,0.09884886,-0.05028947,0.03727839,0.9980388
985.8448,240,533,1,-0.01325362,0.0700976,0.09885561,-0.05086287,0.03648802,0.9980389
985.8647,239,531,1,-0.01289888,0.0700895,0.09890167,-0.05140729,0.03561539,0.9980425
985.8788,238,528,1,-0.01255715,0.07008722,0.09894662,-0.05188387,0.03477344,0.9980475
985.8944,237,526,1,-0.01215765,0.07008369,0.09899876,-0.05234099,0.0339406,0.9980523
985.9105,236,524,1,-0.01177293,0.07007511,0.09905013,-0.05274558,0.03317092,0.998057
985.9295,236,522,1,-0.0114139,0.07005567,0.09909938,-0.05310426,0.03233235,0.9980654
985.9442,235,520,1,-0.01106751,0.07003886,0.09914976,-0.05343147,0.03145914,0.9980758
985.9625,235,517,1,-0.01069854,0.07002629,0.09920642,-0.05376533,0.03058903,0.998085
985.9785,234,515,1,-0.01034009,0.07001401,0.09926256,-0.05406134,0.02979304,0.998093
985.9935,234,513,1,-0.009952179,0.06998906,0.09932414,-0.05438314,0.0290155,0.9980985
986.0103,233,511,1,-0.009575425,0.06995834,0.09938483,-0.05462382,0.02822413,0.998108
986.0267,233,509,1,-0.009182766,0.06992813,0.09944692,-0.0548516,0.02737739,0.9981192
986.0455,233,507,1,-0.008803082,0.06989732,0.09951334,-0.05495787,0.0265365,0.9981359
986.0619,233,505,1,-0.008430886,0.06987035,0.09957521,-0.05505082,0.02573867,0.9981518
986.0783,233,502,1,-0.008077579,0.06984371,0.09963374,-0.05505103,0.02495907,0.9981715
986.0947,234,501,1,-0.007764129,0.06981678,0.09968494,-0.05505023,0.02424425,0.9981893
986.1115,234,499,1,-0.007470231,0.06979255,0.09973445,-0.05503467,0.02355051,0.9982067
986.1282,234,497,1,-0.007206602,0.06977319,0.09978268,-0.05514961,0.02295878,0.9982141
986.144,233,496,1,-0.006964159,0.06975573,0.0998335,-0.05529904,0.02242634,0.9982179
986.1615,233,495,1,-0.006774101,0.06973044,0.09988785,-0.05561811,0.02196983,0.9982103
986.1777,232,493,1,-0.006601562,0.06969544,0.09994119,-0.05602785,0.02150418,0.9981977
986.1945,231,491,1,-0.00653187,0.06967309,0.09998819,-0.05650257,0.02048118,0.9981924
986.2117,229,488,1,-0.006466385,0.06965393,0.1000465,-0.05705643,0.01951457,0.9981802
986.2313,228,485,1,-0.006480553,0.06963407,0.1001033,-0.05768205,0.01822834,0.9981686
986.2447,226,481,1,-0.00649723,0.06960333,0.100163,-0.05832248,0.01692708,0.9981543
986.2634,224,477,1,-0.0065506,0.06957171,0.1002188,-0.05890084,0.01529763,0.9981467
986.2784,223,473,1,-0.006607962,0.06954356,0.1002783,-0.05947984,0.01367717,0.9981357
986.2933,221,468,1,-0.006720775,0.06952236,0.1003298,-0.05996569,0.01192307,0.9981292
986.3098,220,464,1,-0.006830562,0.069507,0.1003824,-0.06046358,0.01023643,0.9981179
986.3275,219,459,1,-0.00698251,0.06948955,0.1004313,-0.06090039,0.00854433,0.9981073
986.3443,218,455,1,-0.007128852,0.06946958,0.1004828,-0.06136184,0.006941836,0.9980914
986.3622,216,451,1,-0.007326396,0.06944675,0.1005298,-0.06176399,0.005363677,0.9980763
986.3782,215,447,1,-0.007518386,0.06942084,0.1005831,-0.0621598,0.003845475,0.9980588
986.3951,214,443,1,-0.007769056,0.06940115,0.1006334,-0.06255579,0.002223859,0.9980391
986.4115,213,439,1,-0.008010518,0.06938061,0.1006799,-0.06294195,0.0006787785,0.998017
986.4311,211,434,1,-0.008243082,0.06935857,0.1007233,-0.06338077,-0.0009565059,0.997989
986.4454,210,430,1,-0.008466491,0.06933974,0.1007689,-0.06379317,-0.002522839,0.99796
986.4625,209,426,1,-0.008736424,0.06932636,0.1008071,-0.06415561,-0.004135464,0.9979313
986.4786,208,422,1,-0.008994559,0.06932598,0.1008469,-0.06448592,-0.005666806,0.9979025
986.4953,207,418,1,-0.009265275,0.06932825,0.1008855,-0.06478102,-0.007123017,0.9978741
986.5114,206,415,1,-0.009525362,0.06933315,0.1009248,-0.06500527,-0.008480723,0.9978489
986.5299,205,411,1,-0.009717315,0.0693346,0.1009602,-0.06523348,-0.009805146,0.9978218
986.5448,205,408,1,-0.009906263,0.06933533,0.1009938,-0.06539794,-0.01107999,0.9977978
986.5615,204,405,1,-0.01005042,0.0693368,0.1010255,-0.0655949,-0.0123152,0.9977703
986.578,204,401,1,-0.01019106,0.06933532,0.101057,-0.06573369,-0.01350011,0.9977459
986.5948,203,398,1,-0.01035452,0.06933337,0.1010815,-0.06584517,-0.01464917,0.9977223
986.6112,203,396,1,-0.01051758,0.06932943,0.1011052,-0.06593959,-0.01576209,0.9976991
986.6287,202,393,1,-0.01064215,0.06932149,0.101125,-0.06610578,-0.01688305,0.9976698
986.6451,202,390,1,-0.01076353,0.06930806,0.1011437,-0.0662885,-0.01798226,0.9976384
986.6627,201,387,1,-0.01088772,0.06928936,0.1011591,-0.0665148,-0.01908933,0.9976028
986.6793,200,384,1,-0.01100739,0.06927501,0.1011697,-0.06675583,-0.02020695,0.9975647
986.6953,200,381,1,-0.0111117,0.06926353,0.1011791,-0.06704094,-0.02127403,0.9975234
986.7112,199,378,1,-0.01121266,0.06925804,0.1011824,-0.06733058,-0.022292,0.9974816
986.7295,198,376,1,-0.01128736,0.06925715,0.1011842,-0.06764618,-0.0232417,0.9974386
986.7439,197,374,1,-0.01136054,0.06925682,0.1011835,-0.06796263,-0.02412162,0.9973962
986.7613,196,371,1,-0.01144092,0.06925708,0.1011752,-0.06833974,-0.02493853,0.9973503
986.7776,195,369,1,-0.01151899,0.06926144,0.1011616,-0.06873593,-0.02572743,0.9973031
986.7966,194,368,1,-0.01160072,0.06927391,0.1011447,-0.06909411,-0.02641664,0.9972604
986.8112,193,366,1,-0.01167806,0.06928519,0.1011284,-0.06945431,-0.02702895,0.9972189
986.8277,192,364,1,-0.01175487,0.06929488,0.1011079,-0.06977528,-0.02759961,0.9971808
986.8441,191,363,1,-0.01182821,0.06929744,0.1010841,-0.07007406,-0.02815692,0.9971443
986.8648,190,361,1,-0.01192254,0.06930075,0.1010552,-0.07031443,-0.02874115,0.9971107
986.8794,190,360,1,-0.01201197,0.06930765,0.1010252,-0.0705156,-0.02932684,0.9970795
986.8939,189,358,1,-0.01212469,0.0693221,0.1009886,-0.07067155,-0.02990028,0.9970514
986.9097,189,357,1,-0.01223635,0.06934211,0.1009467,-0.07081671,-0.03045124,0.9970244
986.9278,188,356,1,-0.01231591,0.06937005,0.1008989,-0.07099354,-0.03095536,0.9969963
986.9439,188,355,1,-0.01239538,0.06940027,0.1008469,-0.07117996,-0.03142203,0.9969684
986.9601,187,353,1,-0.0125001,0.06943748,0.1007897,-0.07137347,-0.03183845,0.9969414
986.9772,186,352,1,-0.01260306,0.0694746,0.1007251,-0.07157472,-0.03226649,0.9969133
986.9942,186,351,1,-0.01270025,0.06951274,0.1006531,-0.07173787,-0.03269776,0.9968874
987.0104,185,350,1,-0.01279345,0.06955864,0.1005706,-0.07187816,-0.0331356,0.9968629
987.0282,185,349,1,-0.01287318,0.06960674,0.1004769,-0.071969,-0.03354167,0.9968427
987.0452,185,348,1,-0.01295144,0.06965572,0.1003728,-0.07201252,-0.03394259,0.996826
987.0637,185,347,1,-0.0130265,0.06970909,0.1002529,-0.07200859,-0.03434336,0.9968126
987.0787,185,346,1,-0.01310062,0.06976612,0.1001207,-0.07196686,-0.03474541,0.9968017
987.0941,186,345,1,-0.01317877,0.06982245,0.09997413,-0.07157953,-0.03508464,0.9968177
987.1103,187,344,1,-0.01325458,0.06988013,0.09980708,-0.07119507,-0.03544863,0.9968323
987.1276,196,344,1,-0.013241,0.06993789,0.09961117,-0.06755818,-0.03556042,0.9970814
987.144,206,344,1,-0.0132281,0.06999916,0.0993953,-0.06406508,-0.03570523,0.9973067
987.162,214,343,1,-0.01307482,0.07005586,0.09915967,-0.06080844,-0.03589994,0.9975036
987.1782,223,343,1,-0.0129249,0.07011797,0.09890095,-0.05768705,-0.03608114,0.9976825
987.1953,230,343,1,-0.01273788,0.07017548,0.09861616,-0.05473965,-0.03621506,0.9978437
987.2111,238,342,1,-0.01255579,0.07022929,0.09830529,-0.05191035,-0.03633283,0.9979906
987.2292,416,336,1,-0.007922658,0.07142233,0.08980004,0.0145434,-0.03892775,0.9991361
987.2454,416,336,1,-0.007915094,0.07143272,0.08975797,0.01454098,-0.03894385,0.9991356
987.2637,416,336,1,-0.007884166,0.07145532,0.08967849,0.01452317,-0.03891622,0.9991369
987.2782,416,337,1,-0.007850223,0.07147598,0.08956009,0.01451248,-0.03880162,0.9991416
987.2943,416,337,1,-0.007858029,0.07149202,0.08940496,0.01451969,-0.03864604,0.9991475
987.3102,416,338,1,-0.007859138,0.07150465,0.08921519,0.01452744,-0.03848147,0.9991537
987.3276,416,338,1,-0.007847345,0.07151797,0.08898874,0.01452711,-0.0383152,0.9991601
987.3439,416,339,1,-0.007829132,0.0715328,0.0887334,0.01453298,-0.03810208,0.9991682
987.361,416,339,1,-0.007813879,0.07154458,0.08844593,0.01454237,-0.03784581,0.9991778
987.3794,416,340,1,-0.007795352,0.07154185,0.08812911,0.01453299,-0.03759963,0.9991872
987.395,415,340,1,-0.007777392,0.07152844,0.08778095,0.01447586,-0.03742786,0.9991944
987.4109,415,340,1,-0.007751873,0.07150133,0.08739953,0.01436983,-0.03733041,0.9991997
987.4302,415,340,1,-0.007720225,0.07146143,0.08698702,0.01421432,-0.03736546,0.9992006
987.4457,414,340,1,-0.007682591,0.07141259,0.08653797,0.01400246,-0.03750996,0.9991981
987.4629,414,339,1,-0.007601228,0.07135868,0.08605714,0.0137432,-0.03776076,0.9991924
987.478,413,338,1,-0.007510634,0.07130604,0.08554831,0.01344787,-0.03804734,0.9991854
987.4942,412,337,1,-0.007419596,0.07124552,0.08500965,0.01313487,-0.03839583,0.9991763
987.5104,412,336,1,-0.007321924,0.07117856,0.0844372,0.012809,-0.03877712,0.9991658
987.5273,411,335,1,-0.007256591,0.07111371,0.08383797,0.01254663,-0.03922288,0.9991517
987.5441,410,334,1,-0.00718611,0.0710475,0.08321046,0.01227062,-0.03965864,0.999138
987.5616,410,333,1,-0.007146978,0.07097839,0.08255186,0.01205291,-0.04009572,0.9991232
987.5784,409,331,1,-0.007100251,0.0709054,0.08186735,0.01181292,-0.04055878,0.9991074
