Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
438.4376,217,153,1,0.06007444,0.05463426,-0.06570809,-0.07694733,-0.09869394,0.9921384
438.4443,217,163,1,0.06020644,0.05466244,-0.06576425,-0.07706961,-0.09519836,0.9924704
438.4618,217,172,1,0.06031877,0.0546901,-0.0658202,-0.07722506,-0.09196361,0.9927633
438.4786,217,181,1,0.06042642,0.05471501,-0.06587867,-0.07736131,-0.08883782,0.9930373
438.4955,216,189,1,0.06052602,0.05473777,-0.06593853,-0.07752935,-0.08586752,0.9932855
438.5132,208,386,1,0.06283674,0.05528761,-0.06760959,-0.08132584,-0.01444002,0.996583
438.5297,208,386,1,0.06287267,0.05528697,-0.06761473,-0.08137565,-0.01443968,0.9965789
438.5446,208,386,1,0.0629072,0.05528727,-0.06762215,-0.08143633,-0.01443238,0.996574
438.5627,208,386,1,0.06293306,0.05528813,-0.0676339,-0.08149626,-0.01445382,0.9965689
438.5786,208,386,1,0.06295836,0.05528979,-0.06764885,-0.08156432,-0.01446095,0.9965631
438.5949,207,386,1,0.06300232,0.05529026,-0.06766707,-0.08165763,-0.01451195,0.9965547
438.6125,207,386,1,0.06304531,0.05529097,-0.06768751,-0.08173997,-0.01455987,0.9965473
438.6297,207,386,1,0.06306966,0.05529659,-0.06771236,-0.08181153,-0.01451877,0.9965421
438.6444,207,386,1,0.06309312,0.05530292,-0.06773452,-0.08186091,-0.01444541,0.9965391
438.6629,207,386,1,0.06311613,0.05530921,-0.06775916,-0.08189454,-0.01437344,0.9965374
438.6796,207,387,1,0.06313831,0.05531273,-0.06779008,-0.08191715,-0.01430753,0.9965364
438.6952,207,387,1,0.06314681,0.05531663,-0.06781856,-0.081924,-0.01427107,0.9965364
438.713,207,387,1,0.06315409,0.0553239,-0.06785039,-0.08192781,-0.01423967,0.9965366
438.7311,207,387,1,0.06315861,0.05533371,-0.0678844,-0.0819755,-0.01428445,0.996532
438.7446,206,387,1,0.06316251,0.05534348,-0.06791638,-0.08201803,-0.01429989,0.9965283
438.7671,206,386,1,0.06318221,0.05534886,-0.0679509,-0.0820975,-0.0144004,0.9965202
438.7779,206,386,1,0.06320136,0.05535603,-0.06798719,-0.08218334,-0.01450112,0.9965118
438.7947,206,385,1,0.06320346,0.05536595,-0.06802292,-0.0823105,-0.01474787,0.9964976
438.8113,205,385,1,0.0632073,0.05537638,-0.06805807,-0.08243583,-0.01496762,0.996484
438.8269,205,384,1,0.06318754,0.0553855,-0.06809571,-0.08259566,-0.01521626,0.9964669
438.8445,204,384,1,0.06316975,0.05539425,-0.0681321,-0.08273877,-0.01544609,0.9964516
438.8613,204,383,1,0.06312329,0.05540515,-0.06816718,-0.08295911,-0.01573435,0.9964288
438.878,203,382,1,0.06308024,0.05541794,-0.06819847,-0.08315323,-0.01599587,0.9964083
438.8945,203,381,1,0.06300741,0.05542729,-0.06823035,-0.0833765,-0.01629208,0.9963849
438.9106,202,380,1,0.06293735,0.05543584,-0.06826097,-0.08358212,-0.01659046,0.9963628
438.9266,201,379,1,0.06285568,0.05544172,-0.06828944,-0.08382664,-0.01695033,0.9963362
438.9441,200,378,1,0.0627761,0.05544743,-0.06831606,-0.08406273,-0.01730903,0.9963101
438.9613,200,377,1,0.06267287,0.05545433,-0.06833759,-0.08427375,-0.01770652,0.9962853
438.9784,199,376,1,0.06257161,0.05545845,-0.0683599,-0.08449145,-0.01809104,0.99626
438.9942,198,374,1,0.0624743,0.05545845,-0.06837765,-0.0847929,-0.01889237,0.9962195
439.0107,197,372,1,0.0623801,0.05545633,-0.06839333,-0.08509502,-0.01967266,0.9961786
439.0267,196,369,1,0.06225765,0.05545386,-0.06840394,-0.08535479,-0.0207263,0.9961351
439.0438,196,366,1,0.06213987,0.05545211,-0.06841435,-0.08561973,-0.0217521,0.9960904
439.0615,195,363,1,0.06198753,0.05544798,-0.06842031,-0.08587309,-0.02291462,0.9960425
439.0786,194,360,1,0.06184065,0.05544507,-0.06842393,-0.08611717,-0.02404734,0.9959947
439.0945,193,357,1,0.0616411,0.05544232,-0.0684216,-0.08631032,-0.02527332,0.9959477
439.1121,193,353,1,0.06145048,0.05544074,-0.06841642,-0.08649353,-0.02646746,0.9959008
439.13,192,350,1,0.06122513,0.05543874,-0.06840547,-0.08659898,-0.02772761,0.9958574
439.1451,192,346,1,0.06100887,0.05543696,-0.06839246,-0.08669623,-0.02893836,0.9958144
439.1632,191,343,1,0.0607769,0.05543066,-0.06837735,-0.08675356,-0.03014633,0.9957736
439.1785,191,340,1,0.06055361,0.05542714,-0.06836282,-0.08680977,-0.03131841,0.9957325
439.1962,191,337,1,0.06028943,0.05542237,-0.06834494,-0.08679765,-0.03243829,0.9956977
439.2109,191,334,1,0.06003514,0.05541753,-0.0683269,-0.08678717,-0.03352327,0.9956627
439.2265,191,331,1,0.05978537,0.05541236,-0.06830522,-0.08678791,-0.03455203,0.9956275
439.2449,190,328,1,0.05954544,0.05540922,-0.0682826,-0.08678387,-0.03552309,0.9955937
439.2617,190,326,1,0.05925391,0.05540158,-0.06825761,-0.08675746,-0.03649526,0.9955608
439.278,190,323,1,0.05897117,0.05538843,-0.06822712,-0.08672649,-0.03743088,0.9955287
439.2944,190,320,1,0.05871202,0.05538016,-0.06820105,-0.08673254,-0.03834404,0.9954935
439.3117,190,318,1,0.05846313,0.05538365,-0.06816692,-0.08674131,-0.03921218,0.9954589
439.3273,189,316,1,0.05821856,0.0553887,-0.06812724,-0.08680003,-0.04012506,0.9954174
439.3459,189,313,1,0.05798289,0.05538005,-0.06808323,-0.08685162,-0.0410105,0.9953768
439.3631,189,310,1,0.05777777,0.0553655,-0.0680409,-0.08687623,-0.04207795,0.99533
439.3797,188,307,1,0.05758146,0.05535686,-0.06799946,-0.08689513,-0.04315965,0.9952821
439.3958,188,304,1,0.0573929,0.05535196,-0.06795741,-0.08690167,-0.04428911,0.9952319
439.4114,188,301,1,0.05720931,0.05534597,-0.0679137,-0.08689296,-0.04535915,0.9951845
439.4267,188,298,1,0.05709492,0.055333,-0.06787063,-0.08695909,-0.04644699,0.9951285
439.4438,188,295,1,0.05698333,0.05531727,-0.06782761,-0.08702604,-0.04750808,0.9950725
