Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
608.4979,656,73,1,0.1103441,0.02847488,-0.3642818,0.06273288,-0.111207,0.9918153
608.5126,655,73,1,0.1103509,0.02847332,-0.3642879,0.06240241,-0.1110802,0.9918503
608.5219,654,73,1,0.1103601,0.02847063,-0.3642931,0.06207735,-0.110943,0.9918861
608.5361,653,74,1,0.1103888,0.02846866,-0.364296,0.06169907,-0.1107512,0.9919311
608.5801,652,75,1,0.1104458,0.02846711,-0.3642996,0.06133002,-0.1105173,0.9919801
608.5925,651,75,1,0.1105014,0.02846591,-0.3643051,0.06098799,-0.1102808,0.9920276
608.6023,650,76,1,0.1105705,0.02846541,-0.3643124,0.06062993,-0.1100249,0.9920779
608.6213,649,77,1,0.1106381,0.02846989,-0.3643215,0.0602881,-0.1097763,0.9921263
608.6332,648,78,1,0.1107168,0.02847544,-0.3643256,0.05997004,-0.1095351,0.9921721
608.6569,647,78,1,0.110793,0.02847216,-0.3643329,0.05965317,-0.1092999,0.9922172
608.6705,646,79,1,0.1109006,0.02847102,-0.3643374,0.05928017,-0.1090569,0.9922664
608.6821,645,80,1,0.1110021,0.02847152,-0.3643415,0.05891988,-0.1088133,0.9923145
608.7014,644,81,1,0.1110849,0.02846794,-0.3643458,0.05846214,-0.1085576,0.9923697
608.7151,642,81,1,0.1111643,0.02846402,-0.3643474,0.05802261,-0.1083145,0.992422
608.7319,629,87,1,0.1113861,0.02847112,-0.3643601,0.05348102,-0.1063712,0.9928872
608.748,616,93,1,0.1116003,0.02847882,-0.3643689,0.0491186,-0.1044944,0.9933118
608.765,603,98,1,0.1117928,0.028482,-0.3643741,0.0448992,-0.1028089,0.9936873
608.7816,591,103,1,0.1119781,0.02848478,-0.3643781,0.04084377,-0.1011966,0.9940277
608.7993,580,108,1,0.1121677,0.02848569,-0.3643794,0.03690841,-0.09972507,0.9943303
608.8158,569,112,1,0.1123498,0.02848417,-0.3643778,0.03313133,-0.09832032,0.9946032
608.8325,301,209,1,0.1165111,0.02842674,-0.3643097,-0.05788321,-0.0659764,0.9961408
608.8502,301,209,1,0.1165115,0.02842495,-0.3643068,-0.05788306,-0.06598429,0.9961404
608.8665,300,209,1,0.1164925,0.0284241,-0.3643041,-0.05790026,-0.06604508,0.9961354
608.9147,300,208,1,0.1164862,0.02841935,-0.3642972,-0.05792404,-0.06619333,0.9961241
608.9261,300,208,1,0.1164801,0.028412,-0.3642886,-0.05795797,-0.0663551,0.9961114
608.9339,300,207,1,0.116478,0.02840397,-0.3642759,-0.05800351,-0.06653436,0.9960968
