Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
380.4245,486,641,1,0.0157463,-0.01560188,-0.02418138,0.03339613,0.09886828,0.9945399
393.5046,484,644,1,0.01170277,-0.01694559,-0.07772082,0.03294668,0.09889867,0.994552
393.5159,484,643,1,0.01164887,-0.01694276,-0.07772098,0.03303653,0.09878101,0.9945606
393.5317,484,643,1,0.01157844,-0.01693941,-0.07771677,0.03311353,0.09866668,0.9945695
393.5499,484,643,1,0.01151047,-0.01693704,-0.0777119,0.033189,0.09855857,0.9945777
393.5654,484,642,1,0.01141498,-0.01693603,-0.07770482,0.03324684,0.09843571,0.9945879
393.5825,484,642,1,0.01132617,-0.01693081,-0.07769842,0.03328601,0.09831834,0.9945982
393.5991,484,642,1,0.01122801,-0.01692359,-0.07768783,0.03332367,0.09820955,0.9946076
393.6164,484,642,1,0.0111364,-0.01692,-0.07767667,0.03336311,0.09810366,0.9946168
393.6324,484,641,1,0.01104457,-0.01691826,-0.07766305,0.03339285,0.09796461,0.9946295
393.6501,484,641,1,0.01095548,-0.01691756,-0.07764995,0.03343856,0.09781551,0.9946426
393.6657,484,640,1,0.01086933,-0.01692087,-0.07763485,0.03347797,0.09764475,0.9946581
393.6824,484,640,1,0.01078712,-0.01692693,-0.07762345,0.03351584,0.09745912,0.994675
393.7001,484,639,1,0.01071828,-0.01693162,-0.07761629,0.03352492,0.09725139,0.9946951
393.7166,484,639,1,0.01065283,-0.01693677,-0.0776093,0.03353805,0.09704981,0.9947144
393.7315,484,638,1,0.01058178,-0.01693925,-0.0776068,0.03354411,0.09686845,0.9947318
393.7479,484,638,1,0.01051435,-0.01694048,-0.07760447,0.03355103,0.09671275,0.9947467
393.7653,484,637,1,0.01044971,-0.0169411,-0.07760097,0.03355318,0.09658982,0.9947585
393.7817,484,637,1,0.01039033,-0.01694182,-0.0775988,0.03355698,0.0964817,0.9947689
393.7994,484,637,1,0.01032957,-0.01694123,-0.07759584,0.033567,0.09636398,0.9947799
393.8156,484,636,1,0.01027043,-0.01694153,-0.07759216,0.03357848,0.09625151,0.9947904
393.831,484,636,1,0.01021553,-0.01694038,-0.07759046,0.03345302,0.09609719,0.9948096
393.8477,483,635,1,0.01016208,-0.01693953,-0.07759087,0.03332035,0.09595166,0.9948281
393.8635,477,633,1,0.01056498,-0.01695281,-0.07762864,0.03106927,0.09512638,0.9949802
393.882,472,631,1,0.0109513,-0.01696857,-0.07766398,0.02890729,0.09432888,0.9951213
393.899,466,629,1,0.0112545,-0.01698112,-0.07769323,0.0268598,0.09355138,0.995252
393.9152,461,627,1,0.01154469,-0.01699601,-0.07772011,0.02489541,0.09280121,0.9953734
393.9316,456,624,1,0.01172856,-0.01701285,-0.07773982,0.02303396,0.09199564,0.9954929
393.9495,451,622,1,0.01190535,-0.0170288,-0.07776071,0.02123986,0.09120908,0.9956053
