Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
245.1907,235,681,1,0.02163561,0.05782425,0.2355219,-0.06552245,0.100076,0.99282
245.1974,235,681,1,0.02153463,0.05782432,0.2355411,-0.06547035,0.1001911,0.9928119
245.2056,235,681,1,0.021436,0.05782362,0.2355625,-0.06542165,0.1002934,0.9928047
245.2151,235,681,1,0.02133378,0.05782162,0.2355839,-0.06536489,0.1004075,0.9927969
245.2268,235,682,1,0.02123358,0.05782275,0.2356082,-0.06530754,0.1005138,0.9927899
245.2439,235,682,1,0.02113649,0.05782318,0.2356313,-0.06525264,0.1006143,0.9927834
245.2603,235,682,1,0.02103337,0.05782043,0.2356548,-0.06520238,0.1007159,0.9927764
245.2774,235,682,1,0.02093347,0.05781613,0.2356793,-0.06514105,0.1007967,0.9927722
245.2934,235,683,1,0.02084229,0.05781369,0.2357051,-0.06505086,0.1008489,0.9927728
245.3109,235,683,1,0.02075343,0.05781137,0.2357302,-0.06495944,0.1008906,0.9927746
245.3278,236,683,1,0.02066828,0.05780978,0.2357545,-0.06488241,0.1009751,0.992771
245.3442,236,683,1,0.02058464,0.05780618,0.2357779,-0.06481287,0.101049,0.992768
245.3612,236,683,1,0.02051058,0.05780385,0.235802,-0.06476627,0.1011167,0.9927642
245.3784,236,683,1,0.0204385,0.05780264,0.2358252,-0.06472813,0.1011959,0.9927586
245.3948,236,684,1,0.02035982,0.05780279,0.23585,-0.06466813,0.1012972,0.9927522
245.4113,236,684,1,0.02028227,0.05780172,0.2358752,-0.06461722,0.1014044,0.9927446
245.4288,236,684,1,0.02020128,0.05780056,0.2359004,-0.06457061,0.1015394,0.9927338
245.4444,236,685,1,0.02012171,0.0577995,0.2359243,-0.06453157,0.1016744,0.9927225
245.4612,236,685,1,0.0200333,0.05779876,0.2359506,-0.06444535,0.1018096,0.9927143
245.4783,236,685,1,0.01994683,0.05779929,0.2359775,-0.06436926,0.1019383,0.992706
245.4941,237,685,1,0.01986717,0.05779787,0.2360045,-0.06406306,0.1019568,0.9927239
245.5101,238,685,1,0.0197882,0.0577964,0.2360295,-0.06378054,0.1019753,0.9927402
245.5265,239,685,1,0.01970067,0.05779225,0.2360553,-0.06339137,0.1018702,0.9927759
245.5437,239,685,1,0.01961486,0.05778899,0.2360807,-0.06303225,0.1017628,0.9928098
245.561,240,684,1,0.019547,0.05778726,0.2361069,-0.06262837,0.1016212,0.9928498
245.5782,241,684,1,0.01948114,0.05778283,0.2361314,-0.06225108,0.1014911,0.9928869
245.5944,242,684,1,0.01943263,0.05777729,0.2361573,-0.0618513,0.1013018,0.9929312
245.6111,243,683,1,0.01938618,0.05777078,0.2361844,-0.06146608,0.101106,0.9929751
